id;nazwa;typ;liczba_mieszkancow;wojewodztwo;powiat
405062;Zbójno;wies;4242;Kujawsko-pomorskie;golubsko-dobrzyński
406012;Grudziądz;wies;13458;Kujawsko-pomorskie;grudziądzki
406022;Gruta;wies;6071;Kujawsko-pomorskie;grudziądzki
406033;Łasin;gmina miejsko-wiejska;7451;Kujawsko-pomorskie;grudziądzki
406043;Radzyń Chełmiński;gmina miejsko-wiejska;4458;Kujawsko-pomorskie;grudziądzki
406052;Rogóźno;wies;3999;Kujawsko-pomorskie;grudziądzki
406062;Świecie nad Osą;wies;3767;Kujawsko-pomorskie;grudziądzki
407011;Inowrocław;miasto;68460;Kujawsko-pomorskie;inowrocławski
407022;Dąbrowa Biskupia;wies;4926;Kujawsko-pomorskie;inowrocławski
407033;Gniewkowo;gmina miejsko-wiejska;13742;Kujawsko-pomorskie;inowrocławski
407042;Inowrocław;wies;12017;Kujawsko-pomorskie;inowrocławski
407053;Janikowo;gmina miejsko-wiejska;12551;Kujawsko-pomorskie;inowrocławski
407063;Kruszwica;gmina miejsko-wiejska;18067;Kujawsko-pomorskie;inowrocławski
407073;Pakość;gmina miejsko-wiejska;9243;Kujawsko-pomorskie;inowrocławski
407082;Rojewo;wies;4482;Kujawsko-pomorskie;inowrocławski
407092;Złotniki Kujawskie;wies;8845;Kujawsko-pomorskie;inowrocławski
408011;Lipno;miasto;13563;Kujawsko-pomorskie;lipnowski
408022;Bobrowniki;wies;3010;Kujawsko-pomorskie;lipnowski
408032;Chrostkowo;wies;2825;Kujawsko-pomorskie;lipnowski
408043;Dobrzyń nad Wisłą;gmina miejsko-wiejska;7200;Kujawsko-pomorskie;lipnowski
408052;Kikół;wies;6708;Kujawsko-pomorskie;lipnowski
408062;Lipno;wies;11586;Kujawsko-pomorskie;lipnowski
408073;Skępe;gmina miejsko-wiejska;7123;Kujawsko-pomorskie;lipnowski
408082;Tłuchowo;wies;4447;Kujawsko-pomorskie;lipnowski
408092;Wielgie;wies;6753;Kujawsko-pomorskie;lipnowski
409012;Dąbrowa;wies;4368;Kujawsko-pomorskie;mogileński
409022;Jeziora Wielkie;wies;4585;Kujawsko-pomorskie;mogileński
409033;Mogilno;gmina miejsko-wiejska;24007;Kujawsko-pomorskie;mogileński
409043;Strzelno;gmina miejsko-wiejska;10963;Kujawsko-pomorskie;mogileński
410013;Kcynia;gmina miejsko-wiejska;12331;Kujawsko-pomorskie;nakielski
410023;Mrocza;gmina miejsko-wiejska;8905;Kujawsko-pomorskie;nakielski
410033;Nakło nad Notecią;gmina miejsko-wiejska;30079;Kujawsko-pomorskie;nakielski
410042;Sadki;wies;6904;Kujawsko-pomorskie;nakielski
410053;Szubin;gmina miejsko-wiejska;24946;Kujawsko-pomorskie;nakielski
411011;Radziejów;miasto;5166;Kujawsko-pomorskie;radziejowski
411022;Bytoń;wies;3363;Kujawsko-pomorskie;radziejowski
411032;Dobre;wies;4976;Kujawsko-pomorskie;radziejowski
411042;Osięciny;wies;7320;Kujawsko-pomorskie;radziejowski
411053;Piotrków Kujawski;gmina miejsko-wiejska;8756;Kujawsko-pomorskie;radziejowski
411062;Radziejów;wies;4271;Kujawsko-pomorskie;radziejowski
411072;Topólka;wies;4530;Kujawsko-pomorskie;radziejowski
412011;Rypin;miasto;15599;Kujawsko-pomorskie;rypiński
412022;Brzuze;wies;4903;Kujawsko-pomorskie;rypiński
412032;Rogowo;wies;4605;Kujawsko-pomorskie;rypiński
412042;Rypin;wies;7253;Kujawsko-pomorskie;rypiński
412052;Skrwilno;wies;5425;Kujawsko-pomorskie;rypiński
412062;Wąpielsk;wies;3710;Kujawsko-pomorskie;rypiński
413013;Kamień Krajeński;gmina miejsko-wiejska;6603;Kujawsko-pomorskie;sępoleński
413023;Sępólno Krajeńskie;gmina miejsko-wiejska;15151;Kujawsko-pomorskie;sępoleński
413032;Sośno;wies;4605;Kujawsko-pomorskie;sępoleński
413043;Więcbork;gmina miejsko-wiejska;12960;Kujawsko-pomorskie;sępoleński
414012;Bukowiec;wies;4924;Kujawsko-pomorskie;świecki
414022;Dragacz;wies;6893;Kujawsko-pomorskie;świecki
414032;Drzycim;wies;4801;Kujawsko-pomorskie;świecki
414042;Jeżewo;wies;7761;Kujawsko-pomorskie;świecki
414052;Lniano;wies;4108;Kujawsko-pomorskie;świecki
414063;Nowe;gmina miejsko-wiejska;9716;Kujawsko-pomorskie;świecki
414072;Osie;wies;5442;Kujawsko-pomorskie;świecki
414083;Pruszcz;gmina miejsko-wiejska;9216;Kujawsko-pomorskie;świecki
414093;Świecie;gmina miejsko-wiejska;33032;Kujawsko-pomorskie;świecki
414102;Świekatowo;wies;3498;Kujawsko-pomorskie;świecki
414112;Warlubie;wies;6147;Kujawsko-pomorskie;świecki
415011;Chełmża;miasto;13853;Kujawsko-pomorskie;toruński
415022;Chełmża;wies;9587;Kujawsko-pomorskie;toruński
415032;Czernikowo;wies;8953;Kujawsko-pomorskie;toruński
415042;Lubicz;wies;21183;Kujawsko-pomorskie;toruński
415052;Łubianka;wies;7863;Kujawsko-pomorskie;toruński
415062;Łysomice;wies;10811;Kujawsko-pomorskie;toruński
415072;Obrowo;wies;19916;Kujawsko-pomorskie;toruński
415082;Wielka Nieszawka;wies;5173;Kujawsko-pomorskie;toruński
415092;Zławieś Wielka;wies;15829;Kujawsko-pomorskie;toruński
416012;Cekcyn;wies;6763;Kujawsko-pomorskie;tucholski
416022;Gostycyn;wies;4949;Kujawsko-pomorskie;tucholski
416032;Kęsowo;wies;4205;Kujawsko-pomorskie;tucholski
416042;Lubiewo;wies;5804;Kujawsko-pomorskie;tucholski
416052;Śliwice;wies;5572;Kujawsko-pomorskie;tucholski
416063;Tuchola;gmina miejsko-wiejska;19872;Kujawsko-pomorskie;tucholski
417011;Wąbrzeźno;miasto;13154;Kujawsko-pomorskie;wąbrzeski
417022;Dębowa Łąka;wies;2965;Kujawsko-pomorskie;wąbrzeski
417032;Książki;wies;3858;Kujawsko-pomorskie;wąbrzeski
417042;Płużnica;wies;4540;Kujawsko-pomorskie;wąbrzeski
417052;Ryńsk;wies;8359;Kujawsko-pomorskie;wąbrzeski
418011;Kowal;miasto;3344;Kujawsko-pomorskie;włocławski
418022;Baruchowo;wies;3318;Kujawsko-pomorskie;włocławski
418032;Boniewo;wies;3206;Kujawsko-pomorskie;włocławski
418043;Brześć Kujawski;gmina miejsko-wiejska;11018;Kujawsko-pomorskie;włocławski
418052;Choceń;wies;7731;Kujawsko-pomorskie;włocławski
418063;Chodecz;gmina miejsko-wiejska;5561;Kujawsko-pomorskie;włocławski
418072;Fabianki;wies;10169;Kujawsko-pomorskie;włocławski
418083;Izbica Kujawska;gmina miejsko-wiejska;7275;Kujawsko-pomorskie;włocławski
418092;Kowal;wies;3853;Kujawsko-pomorskie;włocławski
418102;Lubanie;wies;4346;Kujawsko-pomorskie;włocławski
418113;Lubień Kujawski;gmina miejsko-wiejska;6861;Kujawsko-pomorskie;włocławski
418123;Lubraniec;gmina miejsko-wiejska;8803;Kujawsko-pomorskie;włocławski
418132;Włocławek;wies;7355;Kujawsko-pomorskie;włocławski
419013;Barcin;gmina miejsko-wiejska;14321;Kujawsko-pomorskie;żniński
419022;Gąsawa;wies;4995;Kujawsko-pomorskie;żniński
419033;Janowiec Wielkopol;gmina miejsko-wiejska;8532;Kujawsko-pomorskie;żniński
419043;Łabiszyn;gmina miejsko-wiejska;10548;Kujawsko-pomorskie;żniński
419052;Rogowo;wies;6653;Kujawsko-pomorskie;żniński
419063;Żnin;gmina miejsko-wiejska;23104;Kujawsko-pomorskie;żniński
461000;Bydgoszcz;miasto;331898;Kujawsko-pomorskie;Bydgoszcz
462000;Grudziądz;miasto;89832;Kujawsko-pomorskie;Grudziądz
463000;Toruń;miasto;196298;Kujawsko-pomorskie;Toruń
464000;Włocławek;miasto;102730;Kujawsko-pomorskie;Włocławek
601011;Międzyrzec Podlaski;miasto;15611;Lubelskie;bialski
601021;Terespol;miasto;5197;Lubelskie;bialski
601032;Biała Podlaska;wies;15224;Lubelskie;bialski
601042;Drelów;wies;5100;Lubelskie;bialski
601052;Janów Podlaski;wies;4962;Lubelskie;bialski
601062;Kodeń;wies;3327;Lubelskie;bialski
601072;Konstantynów;wies;3837;Lubelskie;bialski
601082;Leśna Podlaska;wies;4029;Lubelskie;bialski
601092;Łomazy;wies;4632;Lubelskie;bialski
601102;Międzyrzec Podlaski;wies;10215;Lubelskie;bialski
601112;Piszczac;wies;6763;Lubelskie;bialski
601122;Rokitno;wies;2752;Lubelskie;bialski
601132;Rossosz;wies;2104;Lubelskie;bialski
601142;Sławatycze;wies;2285;Lubelskie;bialski
601152;Sosnówka;wies;2189;Lubelskie;bialski
601162;Terespol;wies;6136;Lubelskie;bialski
601172;Tuczna;wies;2796;Lubelskie;bialski
601182;Wisznice;wies;4512;Lubelskie;bialski
601192;Zalesie;wies;4081;Lubelskie;bialski
602011;Biłgoraj;miasto;25173;Lubelskie;biłgorajski
602022;Aleksandrów;wies;3201;Lubelskie;biłgorajski
602032;Biłgoraj;wies;13593;Lubelskie;biłgorajski
602042;Biszcza;wies;3734;Lubelskie;biłgorajski
602053;Frampol;gmina miejsko-wiejska;5707;Lubelskie;biłgorajski
602063;Goraj;gmina miejsko-wiejska;3906;Lubelskie;biłgorajski
602073;Józefów;gmina miejsko-wiejska;6457;Lubelskie;biłgorajski
602082;Księżpol;wies;6721;Lubelskie;biłgorajski
602092;Łukowa;wies;3982;Lubelskie;biłgorajski
602102;Obsza;wies;4044;Lubelskie;biłgorajski
602112;Potok Górny;wies;5094;Lubelskie;biłgorajski
602123;Tarnogród;gmina miejsko-wiejska;6277;Lubelskie;biłgorajski
602132;Tereszpol;wies;3840;Lubelskie;biłgorajski
602142;Turobin;wies;5623;Lubelskie;biłgorajski
603011;Rejowiec Fabryczny;miasto;4038;Lubelskie;chełmski
603022;Białopole;wies;2855;Lubelskie;chełmski
603032;Chełm;wies;15205;Lubelskie;chełmski
603042;Dorohusk;wies;5953;Lubelskie;chełmski
603052;Dubienka;wies;2110;Lubelskie;chełmski
603062;Kamień;wies;4079;Lubelskie;chełmski
603072;Leśniowice;wies;3357;Lubelskie;chełmski
603082;Rejowiec Fabryczny;wies;4051;Lubelskie;chełmski
603092;Ruda-Huta;wies;4179;Lubelskie;chełmski
603102;Sawin;wies;5180;Lubelskie;chełmski
603113;Siedliszcze;gmina miejsko-wiejska;6465;Lubelskie;chełmski
603122;Wierzbica;wies;4751;Lubelskie;chełmski
603132;Wojsławice;wies;3472;Lubelskie;chełmski
603142;Żmudź;wies;2821;Lubelskie;chełmski
603153;Rejowiec;gmina miejsko-wiejska;6034;Lubelskie;chełmski
604011;Hrubieszów;miasto;16390;Lubelskie;hrubieszowski
604022;Dołhobyczów;wies;4757;Lubelskie;hrubieszowski
604032;Horodło;wies;4875;Lubelskie;hrubieszowski
604042;Hrubieszów;wies;9280;Lubelskie;hrubieszowski
604052;Mircze;wies;6313;Lubelskie;hrubieszowski
604062;Trzeszczany;wies;3799;Lubelskie;hrubieszowski
604072;Uchanie;wies;4129;Lubelskie;hrubieszowski
604082;Werbkowice;wies;8550;Lubelskie;hrubieszowski
605012;Batorz;wies;3092;Lubelskie;janowski
605022;Chrzanów;wies;2706;Lubelskie;janowski
605032;Dzwola;wies;5983;Lubelskie;janowski
605042;Godziszów;wies;5498;Lubelskie;janowski
605053;Janów Lubelski;gmina miejsko-wiejska;14832;Lubelskie;janowski
605063;Modliborzyce;gmina miejsko-wiejska;6776;Lubelskie;janowski
605072;Potok Wielki;wies;4469;Lubelskie;janowski
606011;Krasnystaw;miasto;17573;Lubelskie;krasnostawski
606022;Fajsławice;wies;4506;Lubelskie;krasnostawski
606032;Gorzków;wies;3281;Lubelskie;krasnostawski
606043;Izbica;gmina miejsko-wiejska;7766;Lubelskie;krasnostawski
606052;Krasnystaw;wies;8206;Lubelskie;krasnostawski
606062;Kraśniczyn;wies;3443;Lubelskie;krasnostawski
606072;Łopiennik Górny;wies;3602;Lubelskie;krasnostawski
606092;Rudnik;wies;2755;Lubelskie;krasnostawski
606102;Siennica Różana;wies;3871;Lubelskie;krasnostawski
606112;Żółkiewka;wies;4943;Lubelskie;krasnostawski
607011;Kraśnik;miasto;31950;Lubelskie;kraśnicki
607023;Annopol;gmina miejsko-wiejska;8072;Lubelskie;kraśnicki
607032;Dzierzkowice;wies;5226;Lubelskie;kraśnicki
607042;Gościeradów;wies;6863;Lubelskie;kraśnicki
607052;Kraśnik;wies;7034;Lubelskie;kraśnicki
607062;Szastarka;wies;5491;Lubelskie;kraśnicki
607072;Trzydnik Duży;wies;6055;Lubelskie;kraśnicki
607083;Urzędów;gmina miejsko-wiejska;8253;Lubelskie;kraśnicki
607092;Wilkołaz;wies;5362;Lubelskie;kraśnicki
607102;Zakrzówek;wies;6179;Lubelskie;kraśnicki
608011;Lubartów;miasto;20168;Lubelskie;lubartowski
